20230730-113324-8212 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2308> to <0,2310>
20230730-113324-8214 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2309> to <0,2310>
20230730-113334-4387 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27128>
20230730-113334-4389 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27129>
20230730-113334-4400 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27138>
20230730-113334-4403 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27140>
20230730-113334-4407 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27129> to <0,27142>
20230730-113334-4410 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27136> to <0,27145>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113338-9778 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37908> to <0,37911>
20230730-113338-9779 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37910> to <0,37911>
20230730-113340-6436 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42368> to <0,42370>
20230730-113342-9866 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48838> to <0,48841>
20230730-113342-9867 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48840> to <0,48841>
20230730-113347-0697 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57492> to <0,57501>
20230730-113347-0700 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57493> to <0,57502>
20230730-113347-0702 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57495> to <0,57503>
20230730-113347-0705 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57498> to <0,57506>
20230730-113352-1773 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1774 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1775 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1777 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1780 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1781 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1789 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1790 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1792 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1794 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1795 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1796 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1798 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1799 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1800 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1801 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1805 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1806 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1807 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1808 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1812 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1813 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1814 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1815 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1819 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
